tweet_id,favorites,retweets,timestamp
749075273010798592,5331,1871,2016-07-02 03:00:36+00:00
749064354620928000,4478,1399,2016-07-02 02:17:13+00:00
749036806121881602,2874,727,2016-07-02 00:27:45+00:00
748977405889503236,9977,3113,2016-07-01 20:31:43+00:00
748932637671223296,5385,2048,2016-07-01 17:33:49+00:00
748705597323898880,2572,868,2016-07-01 02:31:39+00:00
748699167502000129,4385,1448,2016-07-01 02:06:06+00:00
748692773788876800,3941,1221,2016-07-01 01:40:41+00:00
748575535303884801,5604,1790,2016-06-30 17:54:50+00:00
748568946752774144,2034,602,2016-06-30 17:28:39+00:00
748346686624440324,4820,1116,2016-06-30 02:45:28+00:00
748337862848962560,7014,3708,2016-06-30 02:10:24+00:00
748324050481647620,3429,682,2016-06-30 01:15:31+00:00
748307329658011649,3426,649,2016-06-30 00:09:04+00:00
748220828303695873,13073,7063,2016-06-29 18:25:21+00:00
747963614829678593,5345,1942,2016-06-29 01:23:16+00:00
747933425676525569,6150,2333,2016-06-28 23:23:19+00:00
747885874273214464,2712,872,2016-06-28 20:14:22+00:00
747844099428986880,2609,671,2016-06-28 17:28:22+00:00
747816857231626240,4482,1051,2016-06-28 15:40:07+00:00
747651430853525504,1265,143,2016-06-28 04:42:46+00:00
747648653817413632,11890,5289,2016-06-28 04:31:44+00:00
747600769478692864,2155,519,2016-06-28 01:21:27+00:00
747594051852075008,3397,940,2016-06-28 00:54:46+00:00
747512671126323200,5091,1469,2016-06-27 19:31:23+00:00
747461612269887489,3568,934,2016-06-27 16:08:30+00:00
747439450712596480,5009,1743,2016-06-27 14:40:26+00:00
747242308580548608,0,2611,2016-06-27 01:37:04+00:00
747219827526344708,4864,1428,2016-06-27 00:07:44+00:00
747204161125646336,3110,825,2016-06-26 23:05:29+00:00
747103485104099331,8830,3603,2016-06-26 16:25:26+00:00
746906459439529985,2709,267,2016-06-26 03:22:31+00:00
746872823977771008,5534,1921,2016-06-26 01:08:52+00:00
746818907684614144,4928,1586,2016-06-25 21:34:37+00:00
746790600704425984,4506,1453,2016-06-25 19:42:08+00:00
746757706116112384,8781,3538,2016-06-25 17:31:25+00:00
746726898085036033,5602,1627,2016-06-25 15:29:00+00:00
746542875601690625,4665,1733,2016-06-25 03:17:46+00:00
746521445350707200,0,893,2016-06-25 01:52:36+00:00
746507379341139972,4327,985,2016-06-25 00:56:43+00:00
746369468511756288,5731,1476,2016-06-24 15:48:42+00:00
746131877086527488,6354,1980,2016-06-24 00:04:36+00:00
746056683365994496,3303,734,2016-06-23 19:05:49+00:00
745789745784041472,3642,958,2016-06-23 01:25:06+00:00
745712589599014916,6454,2111,2016-06-22 20:18:30+00:00
745433870967832576,6503,2295,2016-06-22 01:50:58+00:00
745422732645535745,7909,2184,2016-06-22 01:06:43+00:00
745314880350101504,6570,2460,2016-06-21 17:58:09+00:00
745074613265149952,7226,3160,2016-06-21 02:03:25+00:00
745057283344719872,6725,2040,2016-06-21 00:54:33+00:00
744995568523612160,2725,564,2016-06-20 20:49:19+00:00
744971049620602880,7255,2425,2016-06-20 19:11:53+00:00
744709971296780288,5200,1425,2016-06-20 01:54:27+00:00
744334592493166593,6306,1919,2016-06-19 01:02:50+00:00
744234799360020481,143711,70055,2016-06-18 18:26:18+00:00
744223424764059648,1526,323,2016-06-18 17:41:06+00:00
743980027717509120,3870,996,2016-06-18 01:33:55+00:00
743895849529389061,3386,873,2016-06-17 19:59:26+00:00
743835915802583040,0,1852,2016-06-17 16:01:16+00:00
743609206067040256,4138,1259,2016-06-17 01:00:24+00:00
743595368194129920,16837,5912,2016-06-17 00:05:25+00:00
743545585370791937,3263,855,2016-06-16 20:47:36+00:00
743510151680958465,7372,3398,2016-06-16 18:26:48+00:00
743253157753532416,3913,1112,2016-06-16 01:25:36+00:00
743222593470234624,5706,1724,2016-06-15 23:24:09+00:00
743210557239623680,3548,1231,2016-06-15 22:36:19+00:00
742534281772302336,6520,3263,2016-06-14 01:49:03+00:00
742528092657332225,4080,1785,2016-06-14 01:24:27+00:00
742465774154047488,6703,3575,2016-06-13 21:16:49+00:00
742423170473463808,9034,3392,2016-06-13 18:27:32+00:00
742385895052087300,6256,1763,2016-06-13 15:59:24+00:00
742161199639494656,3983,1239,2016-06-13 01:06:33+00:00
742150209887731712,4684,1389,2016-06-13 00:22:53+00:00
741793263812808706,4204,1381,2016-06-12 00:44:30+00:00
